,Unnamed: 0,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
497,497,codrington,-38.2667,141.9667,61.02,74,66,14.9,AU,1661730964
498,498,progreso,21.2833,-89.6667,81.39,84,56,14.76,MX,1661730967
499,499,kiruna,67.8557,20.2251,45.52,81,100,4.61,SE,1661730969
500,500,eresos,39.1667,25.9333,77.23,71,0,6.71,GR,1661730971
501,501,bonham,33.5773,-96.1783,93.83,49,0,11.5,US,1661730974
502,502,ginir,7.1333,40.7,62.35,61,63,8.48,ET,1661730978
503,503,aviles,43.5547,-5.9248,71.19,94,75,4.61,ES,1661730981
504,504,de aar,-30.6497,24.0123,48.54,34,0,5.46,ZA,1661730983
505,505,lokosovo,61.1333,74.8167,56.1,96,88,8.41,RU,1661730985
506,506,nagtipunan,16.2167,121.6,79.66,88,95,0.4,PH,1661730988
507,507,caravelas,-17.7125,-39.2481,71.01,84,0,7.07,BR,1661730990
508,508,ternate,0.8,127.4,80.33,79,100,4.23,ID,1661730992
509,509,san vicente,-26.6167,-54.1333,46.99,92,95,7.99,AR,1661730995
510,510,filingue,14.3521,3.3168,78.89,72,91,7.4,NE,1661730997
511,511,mandali,33.7499,45.5541,91.53,7,0,9.8,IQ,1661730999
512,512,ercis,39.0287,43.3586,66.04,30,0,4.25,TR,1661731002
513,513,alice springs,-23.7,133.8833,63.95,25,85,6.91,AU,1661730771
514,514,nynashamn,58.9034,17.9479,55.11,88,100,19.57,SE,1661731006
515,515,havre-saint-pierre,50.2334,-63.5986,57.56,82,100,9.22,CA,1661731009
516,516,udagamandalam,11.4,76.7,53.53,96,100,1.54,IN,1661731013
517,517,nsanje,-16.92,35.262,69.04,73,0,4.5,MW,1661731016
518,518,bandarbeyla,9.4942,50.8122,75.22,77,39,21.0,SO,1661731018
519,519,idah,7.1065,6.7342,72.54,96,99,2.24,NG,1661731020
520,520,durango,24.8333,-104.8333,74.75,52,82,5.66,MX,1661730896
